n1327_u32_id,n671_u32_id,n316_u32_id,n13_u32_id,n4_u32_id
997,0,0,0,0
8,0,0,0,0
567,0,0,0,0
688,0,0,0,688
695,0,0,0,688
315,0,0,315,688
184,0,184,315,688
68,68,184,315,688
667,667,184,315,688
526157192,526157192,184,315,688
526157196,526157196,184,315,688
526322264,526322264,184,315,688
500,0,0,315,688
107,0,0,315,688
219,0,0,315,688
299,0,0,315,688
644,0,0,315,688
947,0,0,315,688
985,0,985,315,688
320,320,985,315,688
943,943,985,315,688
648,648,985,315,688
844,844,985,315,688
882,882,985,315,688
993,0,993,315,688
656,656,993,315,688
962,962,993,315,688
767,767,993,315,688
1021,1021,993,315,688
1085,1085,993,315,688
453,0,0,315,688
12993,0,0,315,688
12994,0,0,315,688
12995,0,0,315,688
12996,0,0,315,688
12997,0,0,315,688
12998,0,0,315,688
322,0,0,315,688
793,0,0,315,688
346,0,0,315,688
865,0,0,315,688
921,0,0,315,688
686,0,0,315,688
719,0,0,315,688
353,0,353,315,688
558,558,353,315,688
838,838,353,315,688
654,654,353,315,688
702,702,353,315,688
889,889,353,315,688
929,929,353,315,688
329,0,329,315,688
981,981,329,315,688
201,201,329,315,688
1047,1047,329,315,688
1070,1070,329,315,688
1038,1038,329,315,688
1062,1062,329,315,688
480149202,0,329,315,688
480149206,0,329,315,688
480149210,0,329,315,688
480149214,0,329,315,688
480149218,0,329,315,688
480149222,0,329,315,688
480149226,0,329,315,688
337,0,337,315,688
1030,1030,337,315,688
113,113,337,315,688
1094,1094,337,315,688
1128,1128,337,315,688
478,478,337,315,688
510,510,337,315,688
345,0,345,315,688
878,878,345,315,688
657,657,345,315,688
950,950,345,315,688
974,974,345,315,688
1102,1102,345,315,688
2,2,345,315,688
369,0,369,315,688
450,450,369,315,688
854,854,369,315,688
577,577,369,315,688
625,625,369,315,688
945,945,369,315,688
1026,1026,369,315,688
361,0,361,315,688
1006,1006,361,315,688
670,670,361,315,688
1086,1086,361,315,688
1111,1111,361,315,688
9,9,361,315,688
461,461,361,315,688
182305689,0,182305689,315,688
182305693,182305693,182305689,315,688
182305697,182305697,182305689,315,688
182305701,182305701,182305689,315,688
182305705,182305705,182305689,315,688
182305709,182305709,182305689,315,688
182305713,182305713,182305689,315,688
378,0,378,315,688
873,873,378,315,688
806,806,378,315,688
1035,1035,378,315,688
1090,1090,378,315,688
862,862,378,315,688
893,893,378,315,688
1057,0,1057,315,688
36,36,1057,315,688
180,180,1057,315,688
148,148,1057,315,688
187,187,1057,315,688
638,638,1057,315,688
662,662,1057,315,688
677,0,677,315,688
897,897,677,315,688
1106,1106,677,315,688
1010,1010,677,315,688
1058,1058,677,315,688
857,857,677,315,688
849,849,677,315,688
247,0,0,315,688
1011,0,1011,315,688
527,527,1011,315,688
600,600,1011,315,688
678,678,1011,315,688
252,252,1011,315,688
156,156,1011,315,688
243,243,1011,315,688
480149230,0,1011,315,688
480149234,0,1011,315,688
480149238,0,1011,315,688
480149242,0,1011,315,688
480149246,0,1011,315,688
480149250,0,1011,315,688
480149254,0,1011,315,688
1002,0,1002,315,688
735,735,1002,315,688
251,251,1002,315,688
816,816,1002,315,688
847,847,1002,315,688
954,954,1002,315,688
1005,1005,1002,315,688
1027,0,1027,315,688
696,696,1027,315,688
643,643,1027,315,688
759,759,1027,315,688
791,791,1027,315,688
249,249,1027,315,688
456,456,1027,315,688
1018,0,1018,315,688
959,959,1018,315,688
755,755,1018,315,688
990,990,1018,315,688
1023,1023,1018,315,688
520,520,1018,315,688
598,598,1018,315,688
669,0,0,315,688
801,0,0,315,688
561,0,0,315,688
913,0,0,315,688
937,0,0,315,688
457,0,0,315,688
497,0,0,315,688
402,0,402,315,688
1074,1074,402,315,688
905,905,402,315,688
1114,1114,402,315,688
233,233,402,315,688
601,601,402,315,688
649,649,402,315,688
394,0,394,315,688
281,281,394,315,688
1066,1066,394,315,688
401,401,394,315,688
433,433,394,315,688
1046,1046,394,315,688
441,441,394,315,688
409,0,409,315,688
421,421,409,315,688
973,973,409,315,688
573,573,409,315,688
613,613,409,315,688
74,74,409,315,688
121,121,409,315,688
385,0,385,315,688
593,593,385,315,688
821,821,385,315,688
721,721,385,315,688
778,778,385,315,688
33,33,385,315,688
305,305,385,315,688
425,0,425,315,688
750,750,425,315,688
269,269,425,315,688
869,869,425,315,688
902,902,425,315,688
377,377,425,315,688
393,393,425,315,688
533,0,533,315,688
805,805,533,315,688
41,41,533,315,688
501,501,533,315,688
565,565,533,315,688
257,257,533,315,688
469,469,533,315,688
312782574,0,312782574,315,688
312782578,312782578,312782574,315,688
312782582,312782582,312782574,315,688
312782586,312782586,312782574,315,688
312782590,312782590,312782574,315,688
312782594,312782594,312782574,315,688
312782598,312782598,312782574,315,688
312782628,0,312782628,315,688
312782632,312782632,312782628,315,688
312782636,312782636,312782628,315,688
312782640,312782640,312782628,315,688
312782644,312782644,312782628,315,688
312782648,312782648,312782628,315,688
312782652,312782652,312782628,315,688
31,0,0,315,688
572,0,0,315,688
1053,0,0,315,688
739,0,0,315,688
179,0,0,315,688
227,0,0,315,688
39,0,39,315,688
935,935,39,315,688
211,211,39,315,688
1015,1015,39,315,688
919,919,39,315,688
927,927,39,315,688
48,0,48,315,688
588,588,48,315,688
296,296,48,315,688
772,772,48,315,688
810,810,48,315,688
819,819,48,315,688
972,0,972,315,688
171,171,972,315,688
195,0,972,315,688
304,304,972,315,688
363,363,972,315,688
84,84,972,315,688
132,132,972,315,688
44,0,44,315,688
707,707,44,315,688
747,0,44,315,688
556,556,44,315,688
827,827,44,315,688
1054,1054,44,315,688
1081,1081,44,315,688
714,0,0,315,688
264,0,0,315,688
492,0,0,315,688
352,0,0,315,688
476,0,0,315,688
516,0,0,315,688
723,0,723,315,688
448,448,723,315,688
412,412,723,315,688
630,630,723,315,688
440,440,723,315,688
488,488,723,315,688
731,0,731,315,688
484,484,731,315,688
524,0,731,315,688
582,582,731,315,688
620,620,731,315,688
910,910,731,315,688
527696977,527696977,731,315,688
738,0,0,315,688
746,0,746,315,688
969,969,746,315,688
288,288,746,315,688
1125,1125,746,315,688
608,608,746,315,688
680,680,746,315,688
95,0,0,315,688
104,0,104,315,688
996,996,104,315,688
328,328,104,315,688
1101,1101,104,315,688
783,783,104,315,688
831,831,104,315,688
111,0,111,315,688
120,120,111,315,688
163,163,111,315,688
344,344,111,315,688
314,314,111,315,688
355,355,111,315,688
119,0,119,315,688
704,704,119,315,688
694,694,119,315,688
800,800,119,315,688
675,675,119,315,688
699,699,119,315,688
254,0,0,315,688
894,0,894,315,688
671,671,894,315,688
965,965,894,315,688
774,774,894,315,688
906,906,894,315,688
279,279,894,315,688
480149258,0,894,315,688
480149262,0,894,315,688
480149266,0,894,315,688
480149270,0,894,315,688
480149274,0,894,315,688
480149278,0,894,315,688
480149282,0,894,315,688
480149286,0,894,315,688
480149290,0,894,315,688
480149294,0,894,315,688
480149298,0,894,315,688
480149302,0,894,315,688
480149306,0,894,315,688
480149310,0,894,315,688
480149314,0,894,315,688
480149318,0,894,315,688
480149322,0,894,315,688
480149326,0,894,315,688
480149330,0,894,315,688
480149334,0,894,315,688
480149338,0,894,315,688
879,0,879,315,688
442,442,879,315,688
434,434,879,315,688
545,0,879,315,688
610,610,879,315,688
274,274,879,315,688
330,330,879,315,688
886,0,886,315,688
542,542,886,315,688
606,0,886,315,688
430,430,886,315,688
687,687,886,315,688
590,590,886,315,688
622,622,886,315,688
22,0,0,315,688
532,0,0,315,688
241,0,0,315,688
635,0,0,315,688
683,0,0,315,688
308,0,0,315,688
340,0,0,315,688
312782546,0,312782546,315,688
312782550,312782550,312782546,315,688
312782554,312782554,312782546,315,688
312782558,312782558,312782546,315,688
312782562,312782562,312782546,315,688
312782566,312782566,312782546,315,688
312782570,312782570,312782546,315,688
417,0,417,315,688
312782604,312782604,417,315,688
312782608,312782608,417,315,688
312782612,312782612,417,315,688
312782616,312782616,417,315,688
312782620,312782620,417,315,688
312782624,312782624,417,315,688
541,0,541,315,688
97,97,541,315,688
1127,1127,541,315,688
234,234,541,315,688
289,289,541,315,688
729,729,541,315,688
786,786,541,315,688
922,0,922,315,688
540,540,922,315,688
888,888,922,315,688
692,692,922,315,688
335,335,922,315,688
368,368,922,315,688
895,0,895,315,688
836,836,895,315,688
427,427,895,315,688
988,988,895,315,688
977,977,895,315,688
1045,1045,895,315,688
698,698,0,698,688
507,507,507,698,688
212,507,507,698,688
220,507,507,698,688
228,507,507,698,688
236,507,507,698,688
244,507,507,698,688
151,698,151,698,688
188,188,151,698,688
196,196,151,698,688
204,204,151,698,688
159,159,159,698,688
167,159,159,698,688
175,159,159,698,688
183,159,159,698,688
191,159,159,698,688
199,159,159,698,688
160,159,159,698,688
168,159,159,698,688
589,698,589,698,688
597,597,589,698,688
297,597,589,698,688
1034,597,589,698,688
1042,597,589,698,688
1050,597,589,698,688
1059,597,589,698,688
605,605,589,698,688
306,605,589,698,688
1067,605,589,698,688
1075,605,589,698,688
1082,605,589,698,688
814,814,814,698,688
496,814,814,698,688
535,814,814,698,688
360,814,814,698,688
646,814,814,698,688
267,814,814,698,688
961,961,961,698,688
152,961,961,698,688
276,961,961,698,688
284,961,961,698,688
291,961,961,698,688
619,698,619,698,688
392,698,619,698,688
260,260,619,698,688
268,268,619,698,688
1139,1139,619,698,688
631,698,0,698,688
639,639,639,698,688
192,639,639,698,688
200,639,639,698,688
208,639,639,698,688
647,698,647,698,688
655,655,647,698,688
584,655,647,698,688
376,655,647,698,688
216,655,647,698,688
224,655,647,698,688
232,655,647,698,688
663,663,647,698,688
592,663,647,698,688
383,663,647,698,688
240,663,647,698,688
248,663,647,698,688
256,663,647,698,688
788,788,788,698,688
400,788,788,698,688
408,788,788,698,688
416,788,788,698,688
424,788,788,698,688
566,566,566,698,688
517,566,566,698,688
1140,566,566,698,688
1141,566,566,698,688
1142,566,566,698,688
1089,1089,0,1089,688
1080,1089,0,1089,688
375,1089,0,1089,688
382,382,382,1089,688
391,382,382,1089,688
399,382,382,1089,688
407,382,382,1089,688
415,382,382,1089,688
423,423,423,1089,688
431,423,423,1089,688
438,423,423,1089,688
446,423,423,1089,688
454,423,423,1089,688
463,463,463,1089,688
471,463,463,1089,688
479,463,463,1089,688
486,463,463,1089,688
495,463,463,1089,688
504,463,463,1089,688
726,1089,726,1089,688
10703,10703,726,1089,688
10704,10704,726,1089,688
632,632,726,1089,688
10702,1089,726,1089,688
734,1089,726,1089,688
742,1089,726,1089,688
751,1089,726,1089,688
758,1089,726,1089,688
766,1089,726,1089,688
775,1089,726,1089,688
782,1089,726,1089,688
790,1089,726,1089,688
799,1089,726,1089,688
807,1089,726,1089,688
815,1089,726,1089,688
823,1089,726,1089,688
982,982,982,1089,688
19,19,19,1089,688
822,1089,0,1089,688
909,1089,0,1089,688
918,1089,918,1089,688
1121,1121,918,1089,688
20,20,918,1089,688
999,1089,918,1089,688
715,1089,918,1089,688
764,1089,918,1089,688
52,52,918,1089,688
92,1089,918,1089,688
312,1089,918,1089,688
139,139,918,1089,688
387,1089,918,1089,688
28,28,918,1089,688
60,1089,918,1089,688
926,1089,926,1089,688
526,526,926,1089,688
543,543,926,1089,688
468,1089,926,1089,688
508,1089,926,1089,688
664,664,926,1089,688
712,1089,926,1089,688
727,727,926,1089,688
550,1089,926,1089,688
743,743,926,1089,688
934,1089,0,1089,688
259,1089,0,1089,688
324,1089,0,1089,688
371,1089,0,1089,688
419,1089,0,1089,688
1133,1089,0,1089,688
843,843,843,1089,688
10693,843,843,1089,688
10694,843,843,1089,688
10695,843,843,1089,688
1037,1037,1037,1089,688
10696,1037,1037,1089,688
10697,1037,1037,1089,688
10698,1037,1037,1089,688
1084,1084,1084,1089,688
10699,1084,1084,1089,688
10700,1084,1084,1089,688
10701,1084,1084,1089,688
502,502,502,1089,688
509,502,502,1089,688
829,502,502,1089,688
845,502,502,1089,688
837,502,502,1089,688
518,502,502,1089,688
853,502,502,1089,688
870,502,502,1089,688
861,502,502,1089,688
484682470,484682470,484682470,1089,688
484682475,484682470,484682470,1089,688
484682479,484682470,484682470,1089,688
484682483,484682470,484682470,1089,688
484682487,484682470,484682470,1089,688
484682492,484682470,484682470,1089,688
484682496,484682470,484682470,1089,688
484682500,484682470,484682470,1089,688
484682504,484682470,484682470,1089,688
589508447,589508447,589508447,1089,688
484682508,484682508,484682508,1089,688
703,703,0,703,688
16,703,0,703,688
583,583,583,703,688
942,703,0,703,688
952,952,952,703,688
966,966,966,703,688
131,131,131,703,688
295,703,295,703,688
303,303,295,703,688
311,311,295,703,688
451,451,295,703,688
319,703,319,703,688
327,327,319,703,688
334,334,319,703,688
780,780,780,703,688
623,0,0,0,623
477,477,0,477,623
485,477,0,477,623
672,672,672,477,623
493,477,0,477,623
56,56,56,477,623
998,998,998,477,623
754,754,754,477,623
481,754,754,477,623
489,754,754,477,623
144,754,754,477,623
458,754,754,477,623
465,754,754,477,623
473,754,754,477,623
549009199,477,0,477,623
275,477,0,477,623
242,477,0,477,623
250,250,250,477,623
258,258,258,477,623
266,266,266,477,623
310,310,310,477,623
333,333,333,477,623
278,477,0,477,623
23,23,23,477,623
292,292,292,477,623
536,477,536,477,623
544,544,536,477,623
551,551,536,477,623
559,559,536,477,623
1105,1105,1105,477,623
403,403,403,477,623
411,403,403,477,623
418,403,403,477,623
426,403,403,477,623
472,403,403,477,623
480,403,403,477,623
487,403,403,477,623
435,403,403,477,623
803,803,0,803,623
818,803,0,803,623
1022,1022,1022,803,623
1031,1031,1031,803,623
835,803,0,803,623
342,342,342,803,623
298,298,298,803,623
826,803,0,803,623
904,803,0,803,623
564,564,564,803,623
