ptype,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
MOp-ET,0.7525494358501501,1.188692910650048,1.1888572474467043,1.188951856251368,1.2198712086809014,0.6311562202387013,0.5127734713928409,0.8948374794025529,0.989598147427177,0.9542841446233596,1.1039506652512259,0.8755345581397225,0.3505985855841027,0.4679620502533384,3.1833252941031356,0.5947212493926731,0.3879689066415389,0.37749077761059147
MOs-ET,0.9039176333667086,1.5180375580801257,1.5197047605397882,1.5212556146693268,1.6441299239283718,0.8570920299484462,0.779145063936212,1.3699929630660923,0.7057090792992837,1.6554870208144226,1.223114052889352,0.7225208844645505,0.6600005271322337,0.2873247384485863,0.0,0.5510236939640194,0.45606213722697936,0.5220543624862743
RSPv-ET,0.6918510772707042,1.0094911775725082,1.0073236137302028,1.0051292802724145,0.49944517320944865,0.2547711655645743,0.22998772021633432,0.5683394963014331,4.629815367462641,0.26227949772402787,0.41018534956348435,0.7125518025497789,0.3661333003710363,0.33187408211987646,3.3607258586054627,0.5484700516612874,0.5501417473641205,0.28304338380945004
SSp-bfd-ET,0.6888636645204288,0.8760360613630104,0.8765654916515178,0.8770535987052083,0.8767374361251573,0.45372973173636666,0.41290744669736573,0.6870468289152369,1.93895903173887,0.5520824249802067,0.4811529824843872,0.526314559058273,0.29621967377007363,0.37718080857184255,2.7597361676710563,0.8077314767973177,0.44034095292178616,0.3713435264925514
SSp-ll-ET,1.1737650376847732,0.7412555761781093,0.7452225836007332,0.7492022103538345,1.1665944902328254,0.560615216389214,0.7959603428124541,0.773564064811518,1.484826717144199,0.9586384155202208,0.9431643688559898,0.4892783493765475,0.48556379376060255,0.6662028296311097,0.14676434177770772,0.7224766288687893,0.5874544138508051,0.47331081450667123
SSp-m-ET,0.772999264891389,0.7993446365418454,0.8010980044577934,0.8028140241402938,0.8019865106270013,0.531545687896621,0.4616370334300549,0.641716059461461,1.8441226223836138,0.7111299622602906,0.6666133234588919,0.5189627133145184,0.4345454198966869,0.36970603279815994,2.377991264930474,0.7617515003899665,0.6187904615829987,0.38000772518633424
SSp-n-ET,0.722184184031106,0.9056395665214997,0.90704769068898,0.9084009383963226,0.7957015036577101,0.3831714383779802,0.3271276471118768,0.7046921420563935,0.9595382175674915,0.46865724392122365,0.5510973271855958,0.574910241648664,0.3428331679936628,0.33915098785037995,2.21218647199752,0.6014353343958412,0.5415744534224199,0.31474881216332584
SSp-ul-ET,1.0064602679060932,0.7842592356278353,0.786952487060356,0.7896367926254794,0.8699491505882909,0.36636054931212786,0.5540668063937999,0.7201479314583213,2.201833223208823,0.6778810416211638,0.6860481596983232,0.5161235734132108,0.571398161147636,0.33410507762199765,4.56235365161554,0.7160222959901442,0.48841179056601014,0.3945557260152828
SSp-un-ET,0.5838178372223696,0.6429640807184582,0.6416355847742282,0.6403086603863295,0.7531503525083522,0.7404734256231322,0.2929017366724338,0.438527314318698,0.2258930530924742,0.780589527837436,0.6107511610872891,0.4114503003068057,1.2749230320577551,0.38899101045368467,0.0,0.9119009865440622,1.0967038634949486,0.6060627143751928
SSs-ET,0.7404184535689474,1.1436081544150116,1.14282393041806,1.1419866079196364,0.7250926909309776,0.7519592955369679,0.3357273320068256,0.7421205860577399,1.273280602691966,0.5247958265017987,0.4737512393502142,0.6489960741196261,0.3659304474532978,0.36372446718673285,0.9459938827535154,0.8184379834338336,0.4713272014144346,0.4881851804623652
MOp-IT,0.7285142310526781,0.5782188569211649,0.5775490800053025,0.5769121388553288,0.6307500345457624,0.6898184704775516,1.0012052839762458,1.0081154204851182,0.5192972488441436,0.7268315979941079,0.5925849173295998,0.3270968627902244,0.5518977549478083,0.5854199895319411,0.0,0.6184683921888684,0.46713952757228405,0.4328008507613855
MOs-IT,0.9215941396830978,0.531576006918253,0.5295903160752635,0.5277103388763803,0.7490118803335061,0.812545384605045,0.7611956182953965,0.6418364136432939,0.33062053838801697,0.7130835211122082,0.5326170948418931,0.5133531123508042,0.536789630700178,0.4429443789943046,0.0,0.5866825047732567,0.5633070986202935,0.44869530133163843
SSp-bfd-IT,0.8737785292693862,0.9157194710161103,0.918237724798892,0.9207019356130733,0.9559751642648291,1.0481854303623015,2.005703587424441,1.3429997111553649,0.6372944126846448,1.7358813008369647,1.5246591355468182,0.6144582780496948,0.7873257429162163,0.5385714853464936,1.0596317720177602,0.7486374341676343,0.6659313203592191,0.6151164493444531
SSp-m-IT,0.8331151389443946,0.5093404684899896,0.5124196629728613,0.5155058070567793,0.6433528406181731,0.7817433731544902,1.7377562281459913,0.8461998448136131,0.4358925292128734,1.5116472825360276,1.06234380545477,0.5186866813721456,0.713026974457834,0.6498356349488158,0.0,0.7631065523778842,0.742346821936165,0.5581247515566071
SSp-n-IT,1.0011784347061508,0.7858550025592715,0.7896062855049052,0.7933242548500709,0.8612535816511392,1.0411134067485295,1.8840725007111514,1.1752158243780573,0.6053744948595009,1.6184859719464275,1.2680783686146835,0.5667097879729316,0.5038868862289323,0.6411100278026393,0.0,0.82895401834674,0.54279971005508,0.8209835074263384
SSp-ul-IT,0.6263136134875543,0.5611999354215578,0.5606867388047045,0.5601877774509445,0.5651960379865208,0.85292439505778,1.1064805934926722,0.5279654413493903,0.27196348464131204,0.825166513004244,0.5695363354635401,0.4711576376995084,0.5068157740610137,0.38337714040750753,0.0,0.6135102092722801,0.544628630860755,0.8432880234453567
SSs-IT,0.9444079817866825,0.798024509165149,0.7993935657659016,0.8007628516876867,0.6917452616060495,0.8128505583293728,1.7165399986306944,1.221068731919371,0.6289938787508484,1.4504646210536363,1.554032718373722,0.9930469691771289,0.8973067739949512,0.6504938676091715,0.0,0.8734714757386907,0.8089019999649553,0.5122434252033975
VISp-IT,0.4573630980433843,0.6620119217996442,0.6609559236684496,0.659879195830057,0.6436220821696499,0.9132554235826048,1.0790247168153753,0.4099814283512866,0.21118907469342113,0.9366665740085847,0.7464886936456552,1.5708823560508038,0.7084303222284508,0.3517618533936485,0.0,1.2976386382308556,1.2404811444219355,0.6891053914987584
VISrl-IT,0.7639498337640052,0.48306380250191017,0.4868419015391268,0.4905963484663852,1.1209976317246573,0.7982948241134098,1.387965279349247,0.5895233610543777,0.30367415503458894,1.1650394486980318,0.7366298136459053,0.3926313647495904,0.5791048950434765,0.5747846887218051,0.0,1.5389409781493895,0.9260030376212947,0.39391162047679706
LGd-core,0.8055968726852807,0.4704012090063925,0.47032932616529977,0.4703310920879225,0.31292628882186535,0.2588191546535861,0.18316212543386404,0.2976514572734913,0.15332552311932227,0.19982678153213126,0.4041284146315517,0.9622608048889656,0.6291219445451182,0.23456633659975573,0.0,0.8927378193382907,0.5798841579564773,0.6605641252326517
MG-core,0.8122917538818798,0.4669258553716893,0.4650934706495869,0.46335531603518754,0.2748424789334939,0.4706831222924784,0.2173184959980608,0.38150933188568303,0.19652209112220648,0.21301139107862077,0.552239781460951,0.8898931534756901,0.7493069845902898,0.34001147343435484,0.0,0.9952104169673905,0.7569052564955351,0.5677711535792599
SMT-core,1.1280432307113142,0.5194276890355737,0.5164607902488356,0.5136768359638316,0.1523696404229877,0.2304088266109313,0.33675261476081836,0.4494221366723804,0.2315060576018641,0.15247143787791945,0.4651270884809055,0.9749784558576079,0.5006901350797812,0.34328042784531976,0.0,1.1743917336392156,0.6435035890885283,0.4879223587631849
VPL-core,0.9670200033742025,0.6317167533757062,0.6307948188124505,0.6299508245250306,0.3235853571971453,0.3218996135565604,0.3489087887415718,0.3844281410334186,0.19802585530753475,0.21046496742384105,0.38960634350817114,1.1570309828815053,0.5174504764780304,0.21812008298764296,0.0,0.8155978356661199,0.6963474905767757,0.6732461978987708
VPM-core,0.8853559153945113,0.592511660129848,0.5917274097179438,0.5910098918408737,0.4257880622200551,0.35415953393667166,0.26709049816682096,0.3320827334296957,0.17106170941362103,0.2377741900956456,0.3043327914382395,1.0044328282025017,0.5721993990810575,0.16546036216890192,0.0,0.7319891906016969,0.6720233462573104,0.5962814740714131
LD-matrix,0.67057730669946,2.3419528610580853,2.338962242241019,2.3358128787131323,0.5271597532831039,0.5596410882171224,0.3361076002879479,0.9692384613223729,0.4992723283430753,0.2633383648031239,0.8621054408127462,1.4041429569254877,0.5520470918854772,0.6079983488124785,0.0,0.5498857283641042,0.6799436175453369,1.1024500393143797
LP-matrix,0.7539435616486068,1.1546319848909656,1.155384087055013,1.1560624542954643,0.5092328745676143,0.31490691200853227,0.230137636172661,0.5727615854331753,0.295040148202468,0.15693291948355803,0.6774270560576863,1.6486039336274847,0.605079094736296,0.3620321745670012,0.0,0.6580372086267703,0.5385906254282584,0.8626455193887258
VM-matrix,0.4730219263178933,1.2829435963425935,1.2763710176475347,1.2697524526692416,0.3308726082132547,0.2783580766286236,0.2923062316423737,0.7741084690528321,0.398755664755993,0.21434376461769714,1.5368189687983664,2.021622410001805,0.23351823324555482,0.2679404220173668,0.0,0.4800557794126298,0.4006412732959957,0.6122725846717078
RT,0.6435776572534466,0.9969125049440175,0.9929898428464035,0.9890496912970009,0.24308864504014208,0.3653718435667435,0.2656661504770784,0.18842172138856517,0.25157901040082126,0.29221836552499203,0.27979033409598686,0.910298986437565,0.6269468576664325,0.2611271707389199,1.8606014531977413,0.6290638085209687,0.6390095262304407,1.2472457759499131
CP-GPe,0.6874185343326515,0.38525363655331674,0.38507620518215735,0.38496874258093655,0.3178911986550435,0.3373772052943354,0.12963836498574335,0.20751962311514413,0.10689713463476709,0.246770103896959,0.18809965295190773,0.7026653122210086,0.9607998654748374,0.5335494096167481,0.0,1.0764511610764838,0.6134278326012538,0.6554710733500116
CP-SNr,0.604052574291029,0.5662083111637047,0.5653800791735085,0.5645646366341762,0.34745673078565564,0.3797259034956794,0.16951100940530178,0.16112597988861152,0.08299877530103601,0.2969081123966722,0.33926786798091746,0.9493719249907173,0.818845943770389,0.2929829197338968,0.0,0.9970899610959268,0.6369900646459975,0.5394785260363315
ACB,0.5689476618565729,0.326762259837238,0.3244924794697554,0.32229187800724146,0.740744012151897,0.37375153846867476,0.16861406166060808,0.13164566483076381,0.0678130125301944,0.7455005422841284,0.5904259424801516,1.1629667675906183,0.49541149226615266,0.13308170163000835,0.0,1.1271261326045547,0.4732683633464466,0.35150602566361555
OT,0.4091842864892136,0.42643186257642185,0.4247240620033001,0.42302702282900356,0.16003408980360093,0.2350917873172198,0.1709982762193687,0.13386345190925555,0.06895564917757939,0.1686756005391745,0.20465114825352285,0.8771823233708934,0.3897011014086389,0.16802223166906285,0.0,1.2340529977128627,0.774645433214097,0.5930425754122254
