Manually_corrected_soma_region,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
AId,0.8700151707482903,1.5774435628098684,1.880996252157151,1.5465791292961284,1.5763604536625024,0.8501554038723372,0.9952578315539624,1.2281386979762945,0.6590516065864854,0.5883549089138503,1.5444058718050402,1.638995460151244,2.06946323346005,1.53907507377293,0.8566401574464407,0.6598265187384362,1.5116649993826279,0.6245980245684973,0.5779395343448495,0.5776802492261778,0.58426227676957,0.3777875003714163,0.6321725898721546,0.7043052300508623,0.0,1.3018760007329904,0.8337921262021885,1.1332237267218876,1.116615329147874,0.9783427929242462,0.9214596364095142,1.0998861261094568,0.8938876976269932,0.7791126456312458,1.2064805446567666,0.9265829676148069
CLA,0.4341431555844666,1.0531237869366923,1.4550084506410819,2.896401075633364,1.0524365626173418,0.8923072254595722,0.906620193659789,1.5259176525353961,0.5632427784406544,0.4492587396363806,1.565844231119328,2.046268735164703,2.2723629899477356,1.5834453441517864,0.887137069710366,0.9881543292422194,1.5285773760467884,0.6301427999223701,0.35324640881976,0.3530879293740944,0.46921543956170675,0.40057612586730745,0.3699251721972177,0.6875180437931157,0.0,1.5171322986545899,0.9760954995483339,0.260479608350269,0.25666204894572053,0.17813622455076494,0.06685733080319957,0.28216421394489555,0.28529887716785446,0.0,0.9456192857117106,0.4799765301331772
MOp,0.9210870586023238,1.1248224982292776,1.2243356379011168,1.3920230763211945,1.119415925479111,0.8565855293520835,1.1249463853795938,1.3642686403713788,0.772583225298699,0.8036202308677847,1.3621584123380963,1.469623760159673,1.4172530981115232,1.368732670106919,1.1595340193224628,1.337783285058491,1.45354396909536,0.8602262175633689,0.615831573180811,0.6155552882875911,0.9355830442448226,1.8223925290539738,0.619530302916476,0.5488344579062752,0.0,1.027942681186651,0.537048817523017,1.1854930169770455,1.2061509277890852,1.205887702137297,1.3639927866367703,1.158485478190508,1.0821409197239533,1.4430334144017796,1.0931040677983062,0.7160603997687871
MOs,0.907700519401855,0.9503742336180803,0.9216680092344869,1.0071168461872717,0.9436563219326709,0.7978050619333547,0.25926415359380767,1.078734349876505,0.7504887267198616,0.5144580379905158,1.9418685380861958,2.0117429852763116,2.4124446773264627,1.9341316247352143,1.088739849393236,1.2867036069250226,2.5956189967651926,0.8452154686069513,0.6450747216775922,0.6447853172229344,0.7910294608422526,1.871158798313936,0.6026867904341138,0.8977360125283256,0.0,1.0558368411778016,0.7831658568728682,1.3604519910303061,1.3469241634603348,1.2683241186509633,1.4552133274669359,1.2937947769262315,0.9618112478622047,1.2741290339252858,0.9459408406874945,0.6195266398171214
RSPv,0.7119522668504431,0.9267665682011047,0.9431337956051153,1.0546911023315855,0.929984167360301,0.34070372774514257,0.20746818434315012,1.3843099794037497,0.5374982880803169,0.5208212841818466,1.1064836588479012,1.1899917360713308,1.3506912696018505,1.0979370889806466,0.5856860916028294,1.14570554466458,1.2019573798138283,0.6700434035790732,1.0142550117555253,1.0137999793248673,1.3780190640581684,1.820218372355132,1.0342254762315166,0.7457138853517824,1.347086857744217,0.9522218889471483,0.8548592977759899,1.2968794335879716,1.2778725166564864,1.0258131919365923,1.0197680745881132,1.248634730006723,0.591550884070887,0.39064293903863834,1.0131047845857424,0.7091862317262108
SSp-bfd,0.9650682020382576,1.2206546153500544,1.1961469524698585,1.0308335980567562,1.2156145754633012,0.9792569664544346,0.8236345547027984,1.1527255058925494,0.894312462779664,0.4103712959305755,0.7686348154786954,0.7628195120241782,0.9280320244772061,0.7659510434019059,0.9188755810065184,1.61714559533084,1.4406009503515846,1.0445670625628343,0.5729483725492066,0.5726913266509058,0.7237517597558958,1.1379506732173648,0.5829511311686789,0.552352248867175,0.0,1.4357910219402086,0.8277448186185992,1.053160803584036,1.0653736954084847,1.2895464419210956,1.3314001969953386,1.0526716858043328,1.346719347200276,1.685369086508636,1.1478522184508908,0.9547132915202405
SSp-ll,0.8184784456856504,0.8589390908463238,1.05593618576191,1.6190466596169482,0.8594657667919716,0.7159113540091201,0.509695779066326,1.4928120681227328,0.6474236403581163,0.4355607624966021,0.6726207992681941,0.8336348464965784,1.190740938229556,0.6634712288921099,1.1529751378193693,1.7045163866070132,1.0674709000484572,0.9410869814553667,0.759746910557926,0.7594060599045998,0.950186476174666,1.1712467680273233,0.7385280013456728,0.7623674842881251,0.0,1.4636056221465714,0.6617869760193794,1.3128431976987724,1.3421761517113568,1.161761932886428,0.9806077391447506,1.3267313217167513,1.5358402288479447,1.5494469814843213,1.2122670552867894,1.1491631713374413
SSp-m,0.8816009211396073,0.8901104330428606,0.912684580992572,0.7731457334253788,0.8963476869627501,1.1748969616527025,0.842152109328557,0.9417242451701034,0.9435977969606089,0.35766665522335506,0.7612440456689796,0.7198866681640993,0.9248242241212163,0.7570708240760439,0.9560444419210203,1.369830022507006,1.0269575065165597,1.0429015047025743,0.7825742860085441,0.7863989687001828,1.1768119019149386,1.4079801568407009,0.7990700549343553,1.5220434131476723,2.5016553849033443,1.4987421366145108,0.7027750960192902,1.1421798383952337,1.137034590615868,1.238210519392583,1.4710329330934766,1.0989212640692398,1.0269380414328289,1.3505494630656176,1.0388541861680307,0.8383435983828575
SSp-n,0.8966529562348984,1.112561006348238,1.241793696508778,1.5029075565689587,1.1059023870748794,1.0394524829337415,0.8044146167158828,1.445548994115719,0.7939366407736033,0.2705643118306806,0.6619120595350921,0.7036884498783869,0.6240076822678415,0.6645019728113973,0.7518540410327701,1.2170302405031392,0.9623663902304604,1.0901966921649013,0.6820027023512636,0.6816967306343191,0.8089029685917499,0.7448635325062233,0.7171437890872059,0.5703008832840296,0.0,1.538204589837701,0.7998525800450135,1.1631206513706902,1.1900165646617293,1.3455918263883944,1.6972335855758596,1.186735667959032,1.3932511548750992,1.5930825368946053,1.0827389503329956,0.9704459263740911
SSp-ul,0.9856972780851382,0.8018962876359371,0.7641485513301972,0.9753979346060859,0.8095542998479978,0.9189901997326017,0.7335621926938902,1.1615439490082835,0.8977922611777971,0.3257253850091072,0.7027307800978868,0.6891845097373189,0.6707949938496633,0.6979067849691396,0.9177339168582028,1.4339674327274288,1.1040403086702948,0.9765659692419494,0.5280108961902181,0.5613454748178676,1.2528390049985059,1.423434266267413,0.5495077774290639,1.9075938560317383,3.6950019613366485,1.5249674527835733,1.0926465862273016,0.8215497947844356,0.8504491563024644,1.171338459211056,1.0560895457189823,0.8563124004530807,1.1386460249887882,1.660594325248496,0.8146695309948386,0.671709639878152
SSp-un,0.6364699019599366,1.2872241088678797,1.4063980808700474,1.9993090863538694,1.2795757748923313,0.8522055857920543,0.06590100901160732,1.1900259466445513,0.7762069881225694,0.21607334874344722,0.6763867040325297,0.6731173366287958,1.3387612701639218,0.6787445902888426,0.6607101648776916,1.0793862362877278,1.2874183454849832,0.9646808979537288,0.8275835554657466,0.8272122707765395,0.6248379431785221,0.535047268716437,0.807829778640003,0.2690019978268181,0.0,1.468714208785833,1.1303815855679171,0.5510162615166762,0.5692416264453769,1.0062164725288405,0.7473145279054915,0.5367909193522987,0.7717237651970504,1.3586031575036208,0.0,0.2399943692729932
SSs,1.0367839908447782,1.1904235863345758,1.2372710038898362,1.3784214262330525,1.1898293337536736,1.104480465489105,0.8436954877286266,1.1434781948214594,0.6829322636192113,0.46924057403904124,0.9956683314649393,1.0183916452163724,1.1823735032798504,1.0049600779602959,0.9930297817451501,1.539739677725578,1.426824616415998,1.0213474986238373,0.6986213623981723,0.6983079349337207,0.8742622595676616,1.0284776329263428,0.7059364676566031,0.618552849352026,0.0,1.1189551062574923,0.7514041798323605,1.182587665642423,1.1660592806931922,1.1665624687318157,1.4192908991960795,1.1278093688510265,0.9819677820866304,1.077627681282496,1.2048424168888283,0.7908654009555075
VISp,0.6268632616564203,0.5447326549707722,0.6359967341822745,0.9472030894111598,0.5398784760683838,0.787472821618911,0.08400419873314913,0.6748324160443019,0.5831457612536238,1.000576689722958,0.67139391996779,0.3734284492184178,0.26866239445980455,0.6814098019575843,0.6829193709691183,1.031966859314395,0.8774022674027304,1.076732120285217,0.5544325458447273,0.5541838068332876,0.8882468100929307,1.294384135415142,0.597964700518092,0.7513871936221739,0.0,1.0752295135412642,0.6980067428425188,0.6213841878179115,0.6122772520962786,0.4652736093496745,0.30844427932569146,0.6355408882722572,0.5546129998442262,0.2140643646347727,1.2098204997047066,1.034334796754257
VISrl,0.9010336730803863,0.8865676031055305,0.87076436094623,1.0149865376686642,0.8896640284510726,1.0042527525726215,0.09014237816746694,0.9682724468744778,0.6916926844440542,0.9318674654225473,0.713087487222166,0.4599127544251459,0.13147105420059332,0.6907201580013274,0.9004388868864736,1.4801317314208589,0.8294555149558807,1.1567605400734993,0.6027062426428381,0.6024358462598931,0.7387489352801608,0.5229105857341733,0.5956665041790598,0.5378745418274735,0.0,1.1481467119276116,1.1432545438831725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGd,0.39160623939045425,0.20893448029801048,0.14591836677104536,0.1268976660482727,0.21847954020905438,0.9218947273667082,0.7118993768321786,0.6292630354301046,0.4856942179554299,0.8529098976116153,0.6097905800081336,0.33137328520387843,0.1046354309190222,0.6135995561628822,0.7348248066026499,0.26532587371651234,0.0,0.8279658221752476,0.6705088841606042,0.6702080689969608,0.5934209503504163,0.23705312509887735,0.6587636475840842,0.45064822682230743,0.0,0.0,0.9519997180486148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,0.8659760073131489,0.4046656540180955,0.32145103832001476,0.24701341335906607,0.41225249654242324,1.207000015294749,0.25971913325024787,0.651471417026095,0.7254147691337407,0.5007615814097299,0.500780276374874,0.36037054271809027,0.29387500303385916,0.5167139533822425,0.964292098322749,0.4363907825643463,0.9390200834723609,0.6674525376189484,0.7295760796971228,0.7292487647979635,0.6642884529530876,0.35448291705689755,0.7291825754593603,0.4280597808350128,0.0,0.0,0.9134258812588651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMT,0.6108723993484418,0.505312845252342,0.3711392758478065,0.1016066004776503,0.5016400668110355,0.6114718422098969,1.4113095662781003,0.4278693638451618,0.5913063482299687,1.05887223669249,0.7636128395348922,0.7028522079338629,0.26132427589265206,0.7528218038548419,0.6169798928094253,0.16653074680225494,0.5751239211326569,0.8458629549816543,1.0639598865973914,1.0634825547156557,1.1206857350260395,0.6184035863294943,1.035652549532732,0.6783151007105159,0.0,0.0,0.446349698387014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPL,0.6512019303786281,0.37666300722566937,0.23081342068619176,0.16111138467199804,0.38422926650518163,0.9744765465521802,0.9300750316009538,0.9099342455512284,0.8554290041087377,0.8721530209338031,0.642370592194019,0.34180376480020747,0.06602792060949901,0.6385290791073766,0.7653028639238362,0.2399802775800035,0.206047269372164,0.7948798356203727,0.8492939389839219,0.8489129142111381,0.8518783183485792,0.4627735986133908,0.8521881429491479,0.4967519393885544,0.0,0.0,0.8206570021359845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPM,0.5865624836700124,0.33369091870480394,0.19466136183308796,0.0804888584403866,0.3374368756091798,0.9941286190393185,0.8416511842497246,0.802433786361151,0.7196357918746199,0.7493287430475876,0.5553972797757878,0.28145299306233174,0.05511764313727834,0.5552875197033297,1.0635357407793162,0.28326275899721437,0.1641321367989564,0.7614487054555823,0.8527201196551328,0.852337557770577,0.7532796736098668,0.328922155028356,0.855710608383757,0.42443547851913777,0.0,0.0,0.7956228848187735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LD,1.5021344079917165,1.1826056339001725,0.9873688637003637,1.1781281064269098,1.1873191953331517,1.0378684167290162,0.8753615873443765,1.2935102963501441,0.5964286318691937,1.8402412662662793,1.5473046379415363,1.013753920113748,0.6387749826211665,1.5131004639044165,0.9999323155464709,0.26502660376749393,1.1059406866078407,1.1415625838283945,0.7390835584007996,0.7387519780939332,1.3289396904769137,1.0016107870357154,0.7345466893158271,0.7808603667805086,0.0,0.0,0.8972658708660922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP,1.4049438514789332,0.6532229038105929,0.3773720492674777,0.39105760479690427,0.6471053247244152,1.1664830080547612,0.1692919806449362,0.6578115926345786,0.5328666296889946,1.1797340424368532,1.0051540939866384,0.5612863434129166,0.5379504885705348,1.0231535206765998,0.9500041461488836,0.23374485434997344,0.7524385332867125,0.8067746791894977,0.6312676038334315,0.6309843937641305,1.2159078329317972,1.6598245449344395,0.5996529911666997,0.7817485197667178,0.0,0.0,0.8860539200730034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VM,0.8075744081433361,1.3597139612984834,1.1665396594532427,1.0269271804795923,1.3505726630361974,0.941758324665595,0.6559028737367648,0.9867173889518679,0.6359438390843791,0.5530410269607833,1.4276667319032177,1.2946444488935787,1.0846154085768478,1.4231626616264743,1.0281352783039466,0.8112628731162629,1.8964031971847193,0.4089275849181962,1.156731615510164,1.1562126627886846,1.270312591852992,1.0418647653062596,1.1133728534703113,0.46699085471228907,0.0,0.0,0.6738191497573102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT,1.0176036735380503,0.4396425227329915,0.198032896909096,0.034094044831313425,0.4336002037897302,0.32541674014463334,0.3534250301868221,0.0,0.6275901672491387,0.7699388849602006,0.512334002143773,0.1583978386111633,0.026718485274042674,0.51617066202343,0.30901607590065355,0.30306651701402326,0.0,0.9818478015032158,0.687011826806243,0.6865279975604334,1.129906947853045,1.5255786588299114,0.7252224172145191,2.2928237093493578,3.1304403753401404,0.0,1.711021820713918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,0.18229640243784612,0.1495546311615066,0.06093078807089468,0.012336257416750563,0.15726700101471153,0.5534912843271358,0.2588599604619814,0.0,1.0019129727431,0.2012790504963467,0.21324675874055618,0.19810211524119922,0.04389992426554465,0.2205945732848357,0.4142954718846722,0.5499491742280934,0.0,0.8515714578599382,0.24025457362311464,0.240146786507108,0.3713716716991231,0.20615438644961223,0.27075750189957265,0.5305387578892208,0.0,1.9135778532126861,0.8061106041246825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP,0.7634902434357148,0.3491144050350656,0.1916550401852832,0.039688877924565685,0.350886713796245,0.8808162309246415,0.37116724131712925,0.43290983446203124,1.306240474421126,0.4607797459068072,0.33501808555179885,0.16932616499711603,0.02772346443171705,0.3413233530413891,0.7129655988821033,0.8005105132048869,0.4535440974185748,1.2106330265781589,0.4868499382832499,0.488249763356376,0.634488155409549,0.48527002685867004,0.5061377948136381,0.9772689287036933,0.6722133442137361,1.1790154205321017,1.1381424735141727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OT,0.2349889264442358,0.10639777805270116,0.05420047824938868,0.0046356139264489005,0.09714581699225533,0.46054436903255663,0.3178762568093599,0.3160024676404774,0.8337972506676073,0.2931259247567034,0.3087956180873957,0.14599088246977546,0.012099095114156227,0.3060397793452101,0.43029353759871525,0.21382844570727158,0.0,0.8951167229727717,0.4125071532887415,0.41232208727432756,0.47938373705419907,0.2942213974991512,0.46896574982048655,1.033753409232914,0.0,1.5921930160039945,0.9452917144090777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
