Manually_corrected_soma_region,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
AId,0.9437886793385125,0.9958769766042547,0.9966529019414169,0.9974024672281768,1.1101659939932556,0.6110624466739262,0.7430186613157613,1.3032519157094518,0.6713290223683548,0.7291323444358195,0.5032364821669159,0.617397256559179,0.6054430851269064,1.1571838841384647,0.0,0.6745791970500866,0.6281696914060608,0.7429317106053309
CLA,0.6261014116811967,0.5793809839895417,0.574894965503082,0.5704397663043711,0.6656896692888873,0.648434573652836,1.0547010491474251,1.2852801882762466,0.6620702696642414,0.4453393945510987,0.706302243695912,0.38688350912172753,0.643931494645285,1.0552340888684835,0.0,0.47297059965451804,0.633771265796056,0.5814980966011724
MOp,0.8443921226774047,1.171283921591972,1.1694991148618359,1.1676809151298955,1.5930785334027855,1.152205681416598,1.0307210837795582,1.1208123945007884,0.7808747431454932,1.4781979125587457,1.3149982784542962,0.6869783000096944,0.6661802308193007,0.8983321549851495,1.8219809162550462,0.7300670148444862,0.5879638143253785,0.7247737476595226
MOs,0.9037335604153558,1.361255543004695,1.3609317855364544,1.360539586577294,1.6106989050152098,1.0040843899327034,1.002386534177417,1.2541951624472971,0.6460586385353457,1.4737468642563731,1.1392377108391323,0.712703911798426,0.5645845719050668,0.6087259054697383,0.0,0.6815134472926637,0.550877977189617,0.4841486501957239
RSPv,0.9438449963525758,1.3092588675244188,1.3101639157321734,1.3109947597309184,0.962221018342541,1.5741610111472535,0.7011612904653287,1.0911381458987641,3.992262440061881,0.9682610225699938,1.2246988406537085,0.8995763576338346,0.7911631220539105,0.5606782895265667,2.7019846576110944,0.7582566359620955,0.6689602043281137,0.8201069321181149
SSp-bfd,0.8194075831022825,0.9306112817828293,0.931583809776812,0.9325183822454107,1.0101306587885894,1.4637524627242056,1.3986022350183436,0.9845312736242404,1.4073014222933211,1.3233103255478695,1.1791019600862835,0.575759059351835,0.7612708535509795,0.7780287947499327,1.9715052894254614,0.9058687543306078,0.6642515940477787,0.8335189134225145
SSp-ll,0.9713279992078294,0.8854075103871597,0.8876197902840958,0.8898055154340908,1.7191866238985953,1.6695299587311687,1.12155451898422,0.8286336935313744,1.1611045668662512,1.6599861225086667,1.6531690040587406,0.51110781407598,0.8985534703717549,0.8315936306367826,0.10377806130739724,0.5900560938286388,0.8072765207753508,1.12305548868673
SSp-m,0.7882890117600139,0.7322685209989879,0.7341439190413516,0.7359937924896409,1.1015685561130766,0.9441199552142089,1.0171703315533958,0.8071768396167809,1.5784765527220292,1.193769438757304,0.9497398052280794,0.5320649769924491,0.565587312567714,0.5902999470449286,1.9802378488265393,0.7979369599377101,0.667055893322458,0.5637977310924898
SSp-n,0.8445299066949132,0.867487699928476,0.869765263069745,0.8719963473944206,1.0113832580108513,1.2137387146356935,1.1472943977730037,0.8879062681594561,0.8222763321090306,1.2097563912988085,0.987720125128881,0.6001426954631971,0.47620484641343297,0.49124184855319736,1.7029419401405559,0.7434678740867473,0.5319645411214954,0.7357696518838327
SSp-ul,0.9301850527927714,0.7758296982254955,0.7780686600159061,0.7802937389873905,1.0413374564147169,1.1347894885881624,0.825996968412791,0.6729315143299384,1.9565947517572868,0.9231993019892558,0.8684053436817275,0.6152059098161181,0.5826637513370667,0.4440167498539813,3.994718659302583,0.7363491879824126,0.5068773122615652,0.7146928483974254
SSp-un,0.6281163576069095,0.7372096331076428,0.7365493207103657,0.7358755315365287,0.9356954576587584,0.9889126144555798,1.0661161930943384,1.0499703372516735,0.5408574415586896,0.90529093176114,0.861658966706724,0.43896680931945936,1.3391550547617819,0.6526798714974585,0.0,1.0863457171893944,1.1319244360125724,0.699929811971042
SSs,1.0039233417989704,0.941599642270329,0.9427014653587998,0.9437913595898703,0.8038545908279106,0.8284581014449063,1.4067311768773743,1.0674415264225803,0.8562228405565752,1.2138581975345377,1.179576669045624,0.7937355749116964,0.8302463949730455,1.0866081247244428,0.5338955038631108,0.908840548960005,0.6639618138796408,0.6918838825726484
VISp,0.5105555575340568,1.0424775007193616,1.0405198399430184,1.0385117862099953,0.6354192671545392,1.0063692047018058,1.0561474496151315,0.45432235526089587,0.23402984600106402,0.9535170277026368,0.8363446130094785,1.9815622154674424,0.7767265988801052,1.0400263071541591,0.0,1.1996020358395585,1.0816828725868022,1.1813761333537067
VISrl,0.7749335361032003,0.5295194803359363,0.532927674551893,0.5363144574654426,1.0392397381743144,0.9254152617705486,1.3776542852662992,0.6004082400870011,0.3092810331969073,1.1493067362959228,0.8948852498942096,0.5278985714614851,0.5754718311504724,0.7656813402058347,0.0,1.3386480150973934,0.8522050008323312,0.4490682996843083
LGd,0.8055968726852807,0.4704012090063925,0.47032932616529977,0.4703310920879225,0.31292628882186535,0.2588191546535861,0.18316212543386404,0.2976514572734913,0.15332552311932227,0.19982678153213126,0.4041284146315517,0.9622608048889656,0.6291219445451182,0.23456633659975573,0.0,0.8927378193382907,0.5798841579564773,0.6605641252326517
MG,0.8180845999186209,0.4861328858445339,0.4846847264210862,0.48332346786260844,0.27479772477225756,0.49432864970896273,0.2390308764979469,0.3996555146953925,0.20586951343698062,0.23088912736806927,0.5792548407224389,0.9178554201020203,0.7634043670685509,0.3509139168945099,0.0,1.1063534045533137,0.8050743888792526,0.5665853163706369
SMT,1.1280432307113142,0.5194276890355737,0.5164607902488356,0.5136768359638316,0.1523696404229877,0.2304088266109313,0.33675261476081836,0.4494221366723804,0.2315060576018641,0.15247143787791945,0.4651270884809055,0.9749784558576079,0.5006901350797812,0.34328042784531976,0.0,1.1743917336392156,0.6435035890885283,0.4879223587631849
VPL,0.9670200033742025,0.6317167533757062,0.6307948188124505,0.6299508245250306,0.3235853571971453,0.3218996135565604,0.3489087887415718,0.3844281410334186,0.19802585530753475,0.21046496742384105,0.38960634350817114,1.1570309828815053,0.5174504764780304,0.21812008298764296,0.0,0.8155978356661199,0.6963474905767757,0.6732461978987708
VPM,0.8853559153945113,0.592511660129848,0.5917274097179438,0.5910098918408737,0.4257880622200551,0.35415953393667166,0.26709049816682096,0.3320827334296957,0.17106170941362103,0.2377741900956456,0.3043327914382395,1.0044328282025017,0.5721993990810575,0.16546036216890192,0.0,0.7319891906016969,0.6720233462573104,0.5962814740714131
LD,0.7749335361032003,2.1551135857878365,2.151878004366653,2.1485100623851885,0.45755378335099717,0.608396041863893,0.35473105644875835,1.0000284972827767,0.515132349360201,0.23658143339414053,0.7297050472983305,1.217212780017079,0.775506281155715,0.5272288077972098,0.0,0.6513461861932778,0.7770495699702049,0.9748535291578987
LP,0.7539435616486068,1.1546319848909656,1.155384087055013,1.1560624542954643,0.5092328745676143,0.31490691200853227,0.230137636172661,0.5727615854331753,0.295040148202468,0.15693291948355803,0.6774270560576863,1.6486039336274847,0.605079094736296,0.3620321745670012,0.0,0.6580372086267703,0.5385906254282584,0.8626455193887258
VM,0.4730219263178933,1.2829435963425935,1.2763710176475347,1.2697524526692416,0.3308726082132547,0.2783580766286236,0.2923062316423737,0.7741084690528321,0.398755664755993,0.21434376461769714,1.5368189687983664,2.021622410001805,0.23351823324555482,0.2679404220173668,0.0,0.4800557794126298,0.4006412732959957,0.6122725846717078
RT,0.6435776572534466,0.9969125049440175,0.9929898428464035,0.9890496912970009,0.24308864504014208,0.3653718435667435,0.2656661504770784,0.18842172138856517,0.25157901040082126,0.29221836552499203,0.27979033409598686,0.910298986437565,0.6269468576664325,0.2611271707389199,1.8606014531977413,0.6290638085209687,0.6390095262304407,1.2472457759499131
ACB,0.5689476618565729,0.326762259837238,0.3244924794697554,0.32229187800724146,0.740744012151897,0.37375153846867476,0.16861406166060808,0.13164566483076381,0.0678130125301944,0.7455005422841284,0.5904259424801516,1.1629667675906183,0.49541149226615266,0.13308170163000835,0.0,1.1271261326045547,0.4732683633464466,0.35150602566361555
CP,0.676148157037503,0.4590630427313948,0.4584871093097105,0.45796008857793113,0.6806246806345959,0.364131048642979,0.1905710884479112,0.192922081980381,0.09937761995846048,0.6250960284304836,0.5269376737889149,0.8569805319542116,0.9257419750065983,0.47685999893363834,0.0,1.085337927736127,0.6456898333612335,0.7169098761945466
OT,0.4091842864892136,0.42643186257642185,0.4247240620033001,0.42302702282900356,0.16003408980360093,0.2350917873172198,0.1709982762193687,0.13386345190925555,0.06895564917757939,0.1686756005391745,0.20465114825352285,0.8771823233708934,0.3897011014086389,0.16802223166906285,0.0,1.2340529977128627,0.774645433214097,0.5930425754122254
